.index,.value,.conf_lo,.conf_hi,Month
08/04/2023,2.462603739,-3.388813572,8.31402105,9 months
09/04/2023,2.381756401,-3.469660911,8.233173712,9 months
10/04/2023,2.007389037,-3.844028274,7.858806348,9 months
11/04/2023,2.296425038,-3.554992273,8.147842349,9 months
12/04/2023,2.455349245,-3.396068066,8.306766557,9 months
13/04/2023,2.749173646,-3.102243665,8.600590957,9 months
14/04/2023,2.425288568,-3.426128743,8.27670588,9 months
15/04/2023,2.49880209,-3.352615222,8.350219401,9 months
16/04/2023,2.653711808,-3.197705503,8.505129119,9 months
17/04/2023,2.267308876,-3.584108435,8.118726187,9 months
18/04/2023,2.542244895,-3.309172416,8.393662206,9 months
19/04/2023,2.685051417,-3.166365894,8.536468728,9 months
20/04/2023,2.960798903,-2.890618408,8.812216214,9 months
21/04/2023,2.616947626,-3.234469685,8.468364937,9 months
22/04/2023,2.668686704,-3.182730608,8.520104015,9 months
23/04/2023,2.989627504,-2.861789808,8.841044815,9 months
24/04/2023,2.578118874,-3.273298437,8.429536185,9 months
25/04/2023,2.826445902,-3.02497141,8.677863213,9 months
26/04/2023,2.941260483,-2.910156829,8.792677794,9 months
27/04/2023,3.187761662,-2.663655649,9.039178973,9 months
28/04/2023,2.813545785,-3.037871526,8.664963097,9 months
29/04/2023,2.833944739,-3.017472572,8.68536205,9 months
30/04/2023,2.856980226,-2.994437085,8.708397537,9 months
01/05/2023,2.986067641,-2.86534967,8.837484952,9 months
02/05/2023,3.4791472,-2.372270111,9.330564511,9 months
03/05/2023,3.560251063,-2.291166248,9.411668375,9 months
04/05/2023,3.772849744,-2.078567567,9.624267055,9 months
05/05/2023,3.619997236,-2.231420075,9.471414548,9 months
06/05/2023,3.606603073,-2.244814238,9.458020384,9 months
07/05/2023,3.606591005,-2.244826307,9.458008316,9 months
08/05/2023,3.129212389,-2.722204923,8.9806297,9 months
09/05/2023,3.311775993,-2.539641319,9.163193304,9 months
10/05/2023,3.36125037,-2.490166942,9.212667681,9 months
11/05/2023,3.543148911,-2.3082684,9.394566222,9 months
12/05/2023,3.36067157,-2.490745741,9.212088882,9 months
13/05/2023,3.31886761,-2.532549701,9.170284922,9 months
14/05/2023,3.102271407,-2.749145904,8.953688718,9 months
15/05/2023,2.599303373,-3.252113938,8.450720685,9 months
16/05/2023,2.757866613,-3.093550698,8.609283925,9 months
17/05/2023,2.78503694,-3.066380372,8.636454251,9 months
18/05/2023,2.946425263,-2.904992048,8.797842574,9 months
19/05/2023,2.745318786,-3.106098525,8.596736097,9 months
20/05/2023,2.68684329,-3.164574021,8.538260602,9 months
21/05/2023,2.209905063,-3.641512248,8.061322374,9 months
